sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
"KB-)I`K8U;E)RP3[-\ZT7""",RUA GOVERNADOR MOISES LUPION,94,83730000,CENTRO,CONTENDA,PR,"-25,6793029","-49,5355225"
"A.N:[]FBM?6V))`B_6L_,.",AVENIDA REPUBLICA DO CHILE,65,20031912,CENTRO,RIO DE JANEIRO,RJ,"-22,9089582","-43,1788094"
"P%>4VI54'1H$48GK3/Z""?.",AVENIDA DOS HOLANDESES,7,65071380,CALHAU,SAO LUIS,MA,"-2,4936","-44,2718513"
F5CX`BO65W$50E>FDX&O^%,AVENIDA ARAGUAIA,SN,76335000,JARDIM VALE DO SOL,URUANA,GO,"-15,5044274","-49,6813286"
J?*`%BC/TE:AZ[SY_BA4X-,AVENIDA PEDRO CONSTANTINO,1212,68790000,CENTRO,SANTA ISABEL DO PARA,PA,"-1,2963165","-48,164195"
I33O[9\JBBDZ+DZY4K>7S#,RUA IRMAS LIMA,475,17440000,CENTRO,UBIRAJARA,SP,"-22,5289133","-49,6613697"
"DB=]S,WS&AB'G;&WTD]:3)",AVENIDA JOSEFA NERES,337,68945000,AGUA FRIA,PEDRA BRANCA DO AMAPARI,AP,"0,777081","-51,9507548"
"L5;4GFSD%UGV6B(?):,-<""",RUA BARAO DE CANINDE,1340,60000000,MONTESE,FORTALEZA,CE,"-3,768321","-38,5567258"
E1??-H)%%6F^?)2&P/B)D*,AVENIDA PREFEITO OSMAR CUNHA,65,88015100,CENTRO,FLORIANOPOLIS,SC,"-27,5948606","-48,5507802"
"FU'+!TERC497P\`IQR>[!)",AVENIDA THOMAS ALVES FIGUEIREDO,380,12600350,CIDADE INDUSTRIAL,LORENA,SP,"-22,7472817","-45,1237085"
BQ3XC@3C/T^)KB!?:`VIY/,RUA UBIRACI,551,21051040,HIGIENOPOLIS,RIO DE JANEIRO,RJ,"-22,8746607","-43,2655428"
K-5[O%9*MGAE#%.Z)>ZFZ%,AVENIDA LAVA PES,500,78043900,DIQUE DE CAXIAS I,CUIABA,MT,"-15,5880588","-56,111762"
D5&ZPZ%]2LW!!0Y%IM`M+!,RUA ANA MOTA,857,75900000,VILA SANTO ANTONIO,RIO VERDE,GO,"-17,8004986","-50,9261719"
"FG9^TFC=?U)F[:KF9'.?\*",RUA MARECHAL DEODORO,1342,15025070,PARQUE INDUSTRIAL,SAO JOSE DO RIO PRETO,SP,"-20,8020025","-49,3934298"
D!1.:<_9]!02AY&TJ3Z;+.,AVENIDA PELINCA,47,28035175,CENTRO,CAMPOS DOS GOYTACAZES,RJ,"-21,7622479","-41,3298071"
"E,TV*[EG(*&S9.""&RH-5!*",RUA VL,107,32342330,NOVA CONTAGEM,CONTAGEM,MG,"-19,8296278","-44,150328"
"FHWYRO:#'\4=S2P$G!GFO+",AVENIDA INGLATERRA,1018,86181000,CENTRO,CAMBE,PR,"-23,278018","-51,281853"
"K]M*35Q.""15O6JQF2TG+O(",RUA PERNAMBUCO,1497,14085570,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,"-21,1622153","-47,7973491"
"FDP7E%`C(""UJD401%<.#;$",RUA MINAS GERAIS,652,37701004,CENTRO,POCOS DE CALDAS,MG,"-21,7849252","-46,5674715"
HCWSN[&T!+R-]544-WYU3(,AVENIDA JOSE MARIA FERNANDES,1157,02185030,PARQUE NOVO MUNDO,SAO PAULO,SP,"-23,5058079","-46,5678537"
GSE+\[.##(#WR<G6;>/QR+,RUA DO ROSARIO,1224,35600000,SAO JOSE,BOM DESPACHO,MG,"-19,75094","-45,2592979"
"IC'/R'ICRAJT4P5&,&823)",LHA FAXINAL,SN,98280000,INTERIOR,PANAMBI,RS,"-28,2866506","-53,4989324"
"I*#,T^.3]+6)L1J""N5!H3%",RUA DOS BOMBEIROS,120,04001100,PARAISO,SAO PAULO,SP,"-23,5733408","-46,6546172"
"O3>+Z'HX/K/T<`=3\MK[+'",RUA MARCONI,23,08210040,CENTRO,SAO PAULO,SP,"-23,546201","-46,6411971"
"MGGVB+QYTR(*H7X$VM/.'-",ESTRADA SANTA MARIA,210,12250000,RIO MANSO,MONTEIRO LOBATO,SP,"-22,9552034","-45,8408105"
"EUL`)S6^=Q:6""BQ92,C*G+",RUA IRMA IVONE DRUMOND,200,35903087,DISTRITO INDUSTRIAL II,ITABIRA,MG,"-19,6737012","-43,2126166"
O&<`S:38ZXD[8I[I8#$E^-,RUA ITAPINA,12,29112540,RIO MARINHO,VILA VELHA,ES,"-20,3670416","-40,3545685"
"C)(<3`3+!S[W81F0`@8[)""",RUA MELO PEIXOTO,1173,03070010,TATUAPE,SAO PAULO,SP,"-23,5369676","-46,5621922"
L7!%DJPQ:YOEE^/@Y[(+-$,AVENIDA TREMEMBE,287,12120000,PARQUE NOSSA SENHORA DA GLORIA,TREMEMBE,SP,"-22,971507","-45,5466692"
"B/XT""J,E,;VL.0:'VMMJG-",RUA TREZE DE MAIO,20,39790000,CENTRO,AGUA BOA,MG,"-17,9904968","-42,3920668"
K>TX?]\4+)^)$>CU!&&(!(,AVENIDA DAS COMUNICACOES,1941,76964173,JARDIM SAUDE,CACOAL,RO,"-11,4315097","-61,4368675"
"IDP33%2H,T6'4XOVFJ,GY-",RUA GUARAPUAVA,122,83260000,BETARAS,MATINHOS,PR,"-25,761166","-48,5080643"
"KL9T0]=(_W)U,=GOCI8U.*",SITIO MONT ALVAO,SN,19350000,ZONA RURAL,EMILIANOPOLIS,SP,"-21,8319065","-51,4836477"
