chave_fato,quantidade_empresa,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixa_veiculos
18729863000160,18729863000160,,,,0 a 5
58752049000180,58752049000180,,,,0 a 5
27655711000150,27655711000150,,,,0 a 5
55396626000150,55396626000150,,,,0 a 5
50538792000120,50538792000120,,,,0 a 5
51625895000190,51625895000190,,,,0 a 5
60036894000100,60036894000100,,,,0 a 5
20564837000170,20564837000170,,,,0 a 5
29750478000110,29750478000110,,,,0 a 5
19417401000170,19417401000170,,,,0 a 5
31794282000170,31794282000170,,,,0 a 5
27381227000180,27381227000180,,,,0 a 5
55632939000160,55632939000160,,,,0 a 5
54119383000140,54119383000140,,,,0 a 5
31048341000160,31048341000160,,,,0 a 5
49760226000180,49760226000180,,,,0 a 5
53652004000110,53652004000110,,,,0 a 5
60550472000140,60550472000140,,,,0 a 5
62229505000180,62229505000180,,,,0 a 5
57513061000170,57513061000170,,,,0 a 5
50371632000130,50371632000130,,,,0 a 5
61401196000110,61401196000110,,,,0 a 5
65134140000360,65134140000360,,,,0 a 5
78257706000120,78257706000120,,,,0 a 5
67968651000140,67968651000140,,,,0 a 5
65508673000100,65508673000100,,,,0 a 5
79477279000230,79477279000230,,,,0 a 5
10149583000170,10149583000170,,,,0 a 5
65793622000160,65793622000160,,,,0 a 5
72697832000110,72697832000110,,,,0 a 5
48087472000150,48087472000150,,,,0 a 5
38789343000150,38789343000150,,,,0 a 5
37562352000140,37562352000140,,,,0 a 5
49469190000180,49469190000180,,,,0 a 5
40906281000160,40906281000160,,,,0 a 5
33975251000140,33975251000140,,,,0 a 5
36566743000170,36566743000170,,,,0 a 5
44195998000100,44195998000100,,,,0 a 5
49061559000110,49061559000110,,,,0 a 5
43834134000110,43834134000110,,,,0 a 5
36453363000120,36453363000120,,,,0 a 5
77608727000180,77608727000180,,,,0 a 5
47843222000130,47843222000130,,,,0 a 5
23165996000190,23165996000190,,,,0 a 5
14958201000100,14958201000100,,,,0 a 5
55539126000120,55539126000120,,,,0 a 5
