cd_cnpj;cod_ordem;cod_ramo;desc_ramo;chave_cnae
02937277000170;0;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;47
06042798000110;0;810006;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAOMETALICOS;8
06658925000100;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
02718174000110;0;4662100;COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL, PARTES E PECAS;46
07028901000130;0;4923002;OPERADORES TURISTICOS;49
11497569000120;0;8599605;CURSOS PREPARATORIOS PARA CONCURSOS;85
54796362000160;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
08679162000100;0;4924800;TRANSPORTE ESCOLAR;49
64807035000110;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
15317884000180;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;13
16941941000160;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
05277788000100;0;8130300;ATIVIDADES PAISAGISTICAS;81
54093471000110;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
16774603000180;0;1094500;COMERCIO VAREJISTA DE BEBIDAS;10
04251424000180;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
87120762000100;0;4729699;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;47
04724398000160;0;4642701;COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA;46
12842235000100;0;4520003;COMERCIO VAREJISTA DE MATERIAL ELETRICO;45
06932990000930;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
08293513000140;0;8591100;ENSINO DE ESPORTES;85
01475296000160;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
12077443000160;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
13388322000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
10806211000170;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
14239440000100;0;4110700;ALUGUEL DE IMOVEIS PROPRIOS;41
19791896009310;0;4682600;COMERCIO ATACADISTA DE GAS LIQUEFEITO DE PETROLEO GLP;46
12121224000130;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
08508919000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
45064714000100;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
05796462000180;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
